smiles,refcode
O=C(ON1C(=O)CCC1=O)C=[N+]=[N-],EABXIO01
CCOC(=O)C1CC2(COC(N2C1=O)C(C)(C)C)C(=O)OC,ECUKAO
CC1(C)OC2OC3C4CCC4(C)CC3(OCc3ccccc3)C2O1,EDUKAP
COC(=O)C1(CC(=C)C2C3CCC(CCO3)C12)C(=O)OC,EFEQIQ
COC(=O)C1C2CC(C=C2)N1O,EGAFEY
CCC1C(O)CC2CCN3C2C1CCCC3=O,EGAMUV
CC(=C)C1CC=C2C(O)C(CC3(C)CC(=O)C(CC(=O)C1)O3)OC2=O,EHMVCT01
CC(NC(=O)c1ccccn1)C(O)=O,EJEXAT
CCNC(=O)NC(=O)CCC(C)C,EKAXOD
CCCNC(=O)NC(=O)CCC(C)C,EKECAY
CN1C(=CC(=C(C#N)C1=O)C)C,ELOJEV
CC1=NN(Cc2ccc3cc(CN4N=C(C)C=C4C)ccc3c2)C(=C1)C,EMACUR
COc1ccc2Oc3cc(C)cc(C)c3Cc2c1,EMOBOY
COc1ccc(c(C=O)c1OCc1ccccc1)N(=O)=O,EMOPIG
CN1CC(=Cc2cccnc2)C(=O)C(C1)=Cc1cccnc1,EMOROO
Nc1ccc(cc1)C1COC1,EMUDEW
Nc1ccc(CCc2ccc(O)cc2)cc1,ENALUA
COC(=O)c1c(N)c(C#N)c2c(CCC3=C2Nc2c(C)cccc32)c1C(=O)OC,ENIHAL
OC1C(OCC#C)OC2C1OC(=O)C2OC(=O)c1ccccc1,ENIJIV
CNC(=O)C1c2ccccc2C(=O)OC1(C)C,EPOMAY
CCOC(=O)C1(CO)ON=C(CC)C1c1ccccc1,EPOVEL
CN(C=O)c1cc(cc(c1O)C(C)(C)C)C(C)(C)C,ESEHAM
Cc1ccc(C)c(CC2CC3(C)CCCC2(O)O3)c1,ESUHAC
COC(=O)C1(CC(=O)c2c(O)cccc2O1)C1OC(=O)C=C1,ETADOT
OCC1=CN(N=N1)c1ccc(cc1)C(O)=O,EVATUR
COc1cc(ccc1OCC#C)C=NN=Cc1ccc(OCC#C)c(OC)c1,EVAVAZ
O=C1N2C=CN=C2C(=O)c2ccccc12,EVAWEE
CC1CNC(=O)CNC(=O)C(C)NC(=O)CC(C)O1,EVEDEO
O=C(C=CC1=CN(N=C1c1ccccc1)c1ccccc1)c1ccccc1,EVEKUM
N#CC1(CCCCC1)C#N,EVEVAD
NC(=O)CNC(=O)C=C,EVOGOM
O=N(=O)c1ccc(cc1)N#[C],EVOSAJ
OC1C(=O)CC2c3ccccc3C1(CC=C)c1ccccc21,EXILON
