Cc1cc(O)c2C(=O)C(=C(C)Oc2c1)I	UTISAS
Clc1ccc2CCC(=O)c2c1	UXOCIV
Oc1cc(c(O)cc1Cl)c1ccccc1	WOLWEA
Cc1c(ccc(I)c1N(=O)=O)N(=O)=O	WAWFUW
CN1CC(c2ccc3ccccc3c2)c2ccc(cc2C1)c1ccc(N)nn1	WIYDOZ
Oc1cc(Cl)c(Cl)c(Cl)c1	UZOWEM
O1c2ccc3cccc(c4ccccc4)c3c2C=C(c2ccccc2)C1(c1ccccc1)c1ccccc1	WOYTAH
O=C1C2CCCCC(C2)C(=O)N1c1ccc2OCOc2c1	XACNIA
FC(F)(F)c1c2cc(Br)c3ccc4ccc5c(Br)cc(c6c5c4c3c26)c1C(F)(F)F	XIQCUX
Oc1c(I)cc(cc1I)N(=O)=O	XORYIM
Nc1ccc(cc1I)N(=O)=O	YEJLII04
Fc1c(F)c2c(F)c(c3ccccc3)c(F)c(F)c2c(F)c1c1ccccc1	USIDAD
Nc1ccc(I)cc1C1=Nc2ccccc2N1	XOWFOF
ClCc1ccc(CCl)c2ccccc12	YODLIN01
C1CC2Oc3ccccc3C3=NOC(=C23)C1	YORSEF
Nc1cc(ccc1Cl)N(=O)=O	YOVCAO
FC(F)(F)c1ccc(cc1)c1ncc(cn1)C1=CC=C(S1)C1=CC=C(S1)c1cnc(nc1)c1ccc(cc1)C(F)(F)F	YOXWEO
N#Cc1ccccc1C#N	YUYPUD02
BrC1=CC=C(S1)c1cncnc1C1=CC=C(Br)S1	ZOTRIL
Oc1ccc(F)cc1C1=CN2C=CC=CC2=N1	ZUNVOV
FC(F)(F)c1ccc(cc1)c1c2ccccc2c2c3ccccc3c3c4ccccc4c(c4ccc(cc4)C(F)(F)F)c4ccc1c2c34	ZUSXIW
Clc1cccc2cc3cccc(Cl)c3cc12	ZZZBLP03
N1C2=CC3=NC(=CC4=C5C=CC=CC5=C(N4)C=C4N=C(C=C1c1ccccc21)c1ccccc41)c1ccccc31	ZZZLKY01
Brc1c2ccccc2c(c2ccc(cc2)c2nc(nc(n2)c2ccccn2)c2ccccn2)c2ccccc12	SIBZOT
O=C1Nc2ccccc2C2=Nc3cccc4cccc(N12)c34	SIHPEG
Cc1cc(ccc1c1ccc(Cl)nc1)c1cnc(c(C)c1)c1cnc(c(C)c1)c1ccc(c(C)c1)c1ccc(Cl)nc1	TUBFED
Cc1cc(I)ccc1N	TITZUS
O=S1C(=CC2=C(C3C=CC12c1ccccc31)c1ccccc1)c1ccccc1	XAYDOS
Fc1c(I)c(F)c(c(F)c1I)c1c(F)c(I)c(F)c(I)c1F	YOZLAC
CC1=CC(=C(C)S1)C1=C(C(=O)C(F)(F)C1(F)F)c1c(C)cc(O)cc1C	ZOMQID
CN1CCC(CC1)(C#N)C1=CSc2ccccc12	ABEHUL
Clc1cc(Cl)c(cc1Cl)c1ccccc1	ABESIK
Cc1ccc(cc1F)C(O)=O	ACEQUV
CC1CN2N=NC=C2CN2N1C(=O)c1ccccc21	ACUVOL
Fc1ccc(Br)c(C=O)c1	AFOFEI
CC#CN1c2ccccc2S(=O)(=O)c2ccccc12	AGEPOT
CC1(O)CCOC(C1)c1ccccc1	AGILAE
Brc1cnc(nc1c1ccccc1)c1ccccc1	AHACUJ
Fc1cccc(F)c1C1=C2C=C3C(=O)c4ccccc4C(=C3C=C2C(=O)c2ccccc12)c1c(F)cccc1F	AHEYUI
Nc1nc(Cl)c(c(Cl)n1)c1ccccc1	AHUMUL
Brc1c2ccc3ccc4ccccc4c3c2cc2c1ccc1ccc3ccccc3c21	AKERAK
Fc1cc(c(c(F)c1F)c1ccccc1)N(=O)=O	AKUPAY
Fc1cc(F)c(c2ccccc2)c(c1F)N(=O)=O	AKUPEC
Brc1ccc2CCc3ccc(Br)c1c23	ALOWAZ01
Brc1ccc2CCc3ccc(Br)c1c23	ALOWAZ02
Brc1c2ccccc2c(C2=CCc3ccccc23)c2ccccc12	APOWOS
OC1CC(Nc2ccc(Cl)cc2C1)c1ccccc1Cl	APUNAB
