Cc1cc(Br)ccc1N	ABRTOL
CC1=NN(c2ccccc2)C2=C1CCC(=N2)c1ccc(Br)cc1	KUQZIG
Clc1ccc(c(Cl)c1)C1=NOC(=N1)c1ccccc1	KUTGUC
Cc1ccc2OC(=CC(=O)c2c1)c1ccc(Br)cc1	KUVDEL
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1	KUVQEY
CC1=C(C(=O)N(N1)c1ccc(Cl)cc1)C1=CC(=NN1c1ccc(Cl)cc1)C	KUZPIF
Fc1c(F)c(F)c(C#Cc2ccncc2)c(F)c1F	LAHBOM
Cc1c(C)c2OC(=O)CCc2cc1O	LEDXID
Clc1ccc(cc1)C1=CC(=O)C=CC1=O	LEJDEL
Clc1ccc(cc1Cl)C1=CC(=O)C=CC1=O	LEJDIP
Clc1ccc(cc1)C1=C(Cl)C(=O)C=C(Cl)C1=O	LEJDOV
Brc1cccc2c1CC1=C2c2c(Br)cccc2C1c1ccccc1Br	LETWEO
Fc1c(F)c(F)c(C#CC2=CC=C(S2)C#Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F	LIDHOW
Brc1cccc(n1)c1cccc(n1)c1c2ccccc2cc2ccccc12	LOBLEV
Clc1ccc(Cl)c2COCc12	LOCBEM
Clc1ccc(cc1)C#Cc1ccc(Cl)cc1	LOCPUQ
Brc1cccc2cccc(c3cncc4ccccc34)c12	LOPDAX
Fc1c(F)c(F)c(c(F)c1F)c1ccccn1	LURSAS
Fc1cc(F)c(c(F)c1)c1ccccn1	LURSEW
CC1(C)CC2(c3ccccc3c3ccccc23)c2c(Br)c3c(cc12)C(C)(C)CC13c2ccccc2c2ccccc12	LUTMIX
CN1C(=O)C(=O)c2c(Cl)c(ccc12)N(=O)=O	LUVRAW
Clc1ccc2Nc3cc4C(=O)c5cc(Cl)ccc5Nc4cc3C(=O)c2c1	MAMGUD
Cc1ccc(cc1)C(Br)C(Br)C(=O)c1ccc(C)cc1	MECHAL
Oc1ccc2c(F)c(F)c(F)c(F)c2c1c1c(O)ccc2c(F)c(F)c(F)c(F)c12	MECXUN
OC(=O)C#Cc1c(Cl)cccc1Cl	MEKLAQ
Oc1c(F)cc(cc1F)N(=O)=O	MESCAP
Oc1ccccc1c1ccc(Cl)cc1	MEZNIO
