CC(=O)NCCNC(=O)C	ABAWEG01
OC1C2OC3OC1C(C(C2OC(=O)C12CCC(C2(C)C)(C(=O)O1)C)O3)O	CUTWAQ
COC1OC2CC1C(C2)N(=O)=O	CUZXAX
OC(=O)C1CCCCC1C(=O)O	CYHCAC11
O=C(c1ccccc1)C=C1N(CCN1C(=O)c1ccccc1)C(=O)c1ccccc1	DABPAZ
FC(C1CCC2C(C1)N([N]C([N]2)c1ccccc1)c1ccccc1)(F)F	DABZEN
CC(=CCC1C(=CC(C2C1C(=O)N(C2=O)C)NC(=O)C)C)C	DACWIP
ON=C1CCCC21CCCC2=NO	DAFSUZ
C1CCN(CC1)CCN1CCCCC1	DAGLII
C1CCN(C1)CCN1CCCC1	DAGLOO
CCOC(=O)C1NC1C(=O)NCC(=O)NCC(=O)OCc1ccccc1	DAKCOI
COc1ccc(cc1)C=C1c2ccccc2C(=O)N1C	DAKYOE
ON=C1c2c(c3c1c1ccccc1cc3)ccc1c2cccc1	DALTUG
CC(=O)OC1C2OC(C3(C1(CCCC3)OC(=O)C)OC(=O)C)OC2O	DAPSIX
OC1C2OCC3(O2)C(C1O)(O)CCCC3	DAPTEU
Nc1c(Cl)c(Cl)c(c(c1Cl)Cl)N	DATCHB
CC1(C)OC2C(O1)C(OCc1ccccc1)C1(OC2)COC(O1)(C)C	DAXJES
CC(C(C1=C(C)CC2C1C2(C)C)OC(=O)c1ccc(cc1)N(=O)=O)C	DAXJIW
c1ccc(cc1)NN=Nc1ccccc1	DAZABZ02
Clc1cc(Cl)c(c(c1)C(=O)O)N	DCLANA
Fc1c(c2c(F)c(F)c(c(c2F)F)F)c(F)c(c(c1F)F)F	DECFDP02
CCOC(=O)c1cocc1C(=O)O	DEGMEI
CCC(=O)C=CC(=CC(=O)OC)O	DEQZUV
O=C1NCCc2c1c1cccc(c1cc2)N(=O)=O	DEVWOR
O=C1NCCc2c1c1c(cc2)cccc1N(=O)=O	DEVWUX
COc1cc(C=Nc2ccc(cc2)N=Cc2ccc(c(c2)OC)OC)ccc1OC	DEWSUU
COc1ccc(cc1)C1OC2C(N1)c1c(C2)cccc1	DEXSIJ
Fc1cc2ccccc2c2c1c1ccccc1cc2	DEXWUA
CC(=N)NC(C)(C)C	DIBMIL
CC(=CC(C(=O)N1C(=O)OCC1c1ccccc1)C)c1ccccc1	DIFVAQ
O=C1CCC2C(=C1)CC1C(C2)CC2(C(C1)CCC2O)C	DIGRIV
COC(=O)C1CC2(N(C1(C)C(=O)NC2=C)C)C	DIGVUL
CCC(=O)C1(CC)NC(=O)C2(CC1C(=O)N2C)C	DIGWAS
C=CCN1C(=O)C2=C(c3ccccc3)N(C(=O)C2=C1c1ccccc1)CC=C	DIHDUU
CC(NC(=C(C(=O)N)C#N)O)C	DIJHIO
OC1(c2ccccc2)c2ccccc2C(c2c1cccc2)(O)c1ccccc1	DIKCOP01
Oc1ccccc1C=NCCCCCN=Cc1ccccc1O	DIKXAX
[O-]C(=O)c1c[nH+]cc(c1)C(=O)O	DINICA11
NC(=O)c1ncn2c1nnn(c2=O)C	DIPGIS12
O=C(Nc1cccc(n1)C)COc1ccc2c(c1)cc(cc2)O	DIWPUV
ON=C1CC(C)(C)CC(=NO)C1(C)C	DIXLIF
Clc1ccc(c(c1)Cl)C1=NS[S]=N1.Clc1ccc(c(c1)Cl)C1=NS[S]=N1.Clc1ccc(c(c1)Cl)C1=NS[S]=N1.Clc1ccc(c(c1)Cl)C1=NS[S]=N1	DIXMOO
O=C1Cc2cc3CC(=O)Cc4cc(C1)cc(CC(=O)Cc(c2)c3)c4	DIXRIL01
NC(=O)c1cc2C(=O)CC(Cc2n(c1=O)c1ccccc1)(C)C	DIYQEI
N=c1n(C)nnn1N	DIZTOW
COC(=O)C(=O)OC	DMEOXA06
O=N(=O)c1cccc(c1)N(=O)=O	DNBENZ11
COc1ccc(cc1)CN1C(=O)CCC(C1NC(=O)C)O	DOCCUU
COc1ccc(cc1)CN1C(=O)CCC(C1NC(=O)C(C)C)O	DOCDAB
c1ccc(nc1)c1ncn(n1)CCCCn1nncn1	DOKQAW
C(Cn1ccnn1)CCn1cnnn1	DOKQIE
ONC(=O)c1cccc(n1)C(=O)NO	DOMQUS
Fc1c(c2cc3c(s2)c2c(s3)cc(s2)c2ccccc2)c(F)c(c(c1F)F)F	DONBUF
CC(=O)Nc1cccc(n1)NC(=O)C	DOPDAN01
